CategorieSocioPro;Demande;Raison;Index
Retraités;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;65
Retraités;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;66
Retraités;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;67
Retraités;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;68
Retraités;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;69
Retraités;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;70
Retraités;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;71
Retraités;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;72
Retraités;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;73
Retraités;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;74
Retraités;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;75
Retraités;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;76
Retraités;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;77
Retraités;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;78
Retraités;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;79
Retraités;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;80
Retraités;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;81
Retraités;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;82
Retraités;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;83
Retraités;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;84
Retraités;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;85
Retraités;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;86
Retraités;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;87
Retraités;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;88
Retraités;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;89
Retraités;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;90
Retraités;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;91
Retraités;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;92
Retraités;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;93
Retraités;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;94
Retraités;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;95
Retraités;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;96
Retraités;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;97
Retraités;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;98
Retraités;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;99
Retraités;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;100
Retraités;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;101
Retraités;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;102
Retraités;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;103
Retraités;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;104
Retraités;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;105
Retraités;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;106
Retraités;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;107
Retraités;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;108
Retraités;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;109
Retraités;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;110
Retraités;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;111
Retraités;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;112
Retraités;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;113
Retraités;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;114
Retraités;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;115
Retraités;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;116
Retraités;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;117
Retraités;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;118
Retraités;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;119
Retraités;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;120
Retraités;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;121
Retraités;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;122
Retraités;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;123
Retraités;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;124
Retraités;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;125
Retraités;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;126
Retraités;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;127
Retraités;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;128
Retraités;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;129
Retraités;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;130
Retraités;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;131
Retraités;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;132
Retraités;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;133
Retraités;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;134
Retraités;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;135
Retraités;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;136
Retraités;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;137
Retraités;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;138
Retraités;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;139
Retraités;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;140
Retraités;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;141
Retraités;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;142
Retraités;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;143
Retraités;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;144
Retraités;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;145
Retraités;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;146
Retraités;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;147
Retraités;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;148
Retraités;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;149
Retraités;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;150
Retraités;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;151
Retraités;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;152
Retraités;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;153
Retraités;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;154
Retraités;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;155
Retraités;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;156
Retraités;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;157
Retraités;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;158
Retraités;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;159
Retraités;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;160
Retraités;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;161
Retraités;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;162
Retraités;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;163
Retraités;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;164
Retraités;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;165
Retraités;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;166
Retraités;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;167
Retraités;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;168
Retraités;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;169
Retraités;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;170
Retraités;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;171
Retraités;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;172
Retraités;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;173
Retraités;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;174
Retraités;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;175
Retraités;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;176
Retraités;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;177
Retraités;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;178
Retraités;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;179
Retraités;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;180
Retraités;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;181
Retraités;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;182
Retraités;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;183
Retraités;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;184
Retraités;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;185
Retraités;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;186
Retraités;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;187
Retraités;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;188
Retraités;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;189
Retraités;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;190
Retraités;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;191
Retraités;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;192
Retraités;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;193
Retraités;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;194
Retraités;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;195
Retraités;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;196
Retraités;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;197
Retraités;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;198
Retraités;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;199
Retraités;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;200
Chômeurs;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;1
Chômeurs;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;2
Chômeurs;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;3
Chômeurs;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;4
Chômeurs;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;5
Chômeurs;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;6
Chômeurs;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;7
Chômeurs;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;8
Chômeurs;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;9
Chômeurs;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;10
Chômeurs;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;11
Chômeurs;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;12
Chômeurs;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;13
Chômeurs;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;14
Chômeurs;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;15
Chômeurs;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;16
Chômeurs;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;17
Chômeurs;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;18
Chômeurs;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;19
Chômeurs;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;20
Chômeurs;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;21
Chômeurs;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;22
Chômeurs;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;23
Chômeurs;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;24
Chômeurs;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;25
Chômeurs;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;26
Chômeurs;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;27
Chômeurs;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;28
Chômeurs;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;29
Chômeurs;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;30
Chômeurs;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;31
Chômeurs;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;32
Chômeurs;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;33
Chômeurs;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;34
Chômeurs;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;35
Chômeurs;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;36
Chômeurs;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;37
Chômeurs;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;38
Chômeurs;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;39
Chômeurs;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;40
Chômeurs;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;41
Chômeurs;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;42
Chômeurs;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;43
Chômeurs;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;44
Chômeurs;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;45
Chômeurs;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;46
Chômeurs;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;47
Chômeurs;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;48
Chômeurs;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;49
Chômeurs;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;50
Etudiants;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;1
Etudiants;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;2
Etudiants;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;3
Etudiants;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;4
Etudiants;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;5
Etudiants;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;6
Etudiants;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;7
Etudiants;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;8
Etudiants;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;9
Etudiants;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;10
Etudiants;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;11
Etudiants;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;12
Etudiants;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;13
Etudiants;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;14
Etudiants;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;15
Etudiants;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;16
Etudiants;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;17
Etudiants;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;18
Etudiants;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;19
Etudiants;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;20
Etudiants;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;21
Etudiants;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;22
Etudiants;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;23
Etudiants;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;24
Etudiants;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;25
Etudiants;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;26
Etudiants;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;27
Etudiants;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;28
Etudiants;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;29
Etudiants;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;30
Etudiants;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;31
Etudiants;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;32
Etudiants;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;33
Etudiants;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;34
Etudiants;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;35
Etudiants;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;36
Etudiants;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;37
Etudiants;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;38
Etudiants;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;39
Etudiants;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;40
Etudiants;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;41
Etudiants;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;42
Etudiants;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;43
Etudiants;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;44
Etudiants;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;45
Etudiants;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;46
Etudiants;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;47
Etudiants;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;48
Etudiants;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;49
Etudiants;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;50
Autres personnes sans activité professionnelle;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;1
Autres personnes sans activité professionnelle;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;2
Autres personnes sans activité professionnelle;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;3
Autres personnes sans activité professionnelle;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;4
Autres personnes sans activité professionnelle;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;5
Autres personnes sans activité professionnelle;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;6
Autres personnes sans activité professionnelle;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;7
Autres personnes sans activité professionnelle;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;8
Autres personnes sans activité professionnelle;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;9
Autres personnes sans activité professionnelle;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;10
Autres personnes sans activité professionnelle;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;11
Autres personnes sans activité professionnelle;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;12
Autres personnes sans activité professionnelle;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;13
Autres personnes sans activité professionnelle;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;14
